Fracción;Uso;Impuesto importación
0802 - Los demás frutos de cáscara frescos o secos, incluso sin cáscara o mondados;Almendra, amarga con cáscara;exención
0802 - Los demás frutos de cáscara frescos o secos, incluso sin cáscara o mondados;Almendra, las demas amargas con cáscara;5,6% *Contingentes arancelarios OMC
0802 - Los demás frutos de cáscara frescos o secos, incluso sin cáscara o mondados;Almendra, amarga sin cáscara;exención
0802 - Los demás frutos de cáscara frescos o secos, incluso sin cáscara o mondados;Almendra, las demas amargas sin cáscara;3,5% *Contingentes arancelarios OMC
0802 - Los demás frutos de cáscara frescos o secos, incluso sin cáscara o mondados;Avellanas, Con cáscara;3,20%
0802 - Los demás frutos de cáscara frescos o secos, incluso sin cáscara o mondados;Avellanas, Sin cáscara;3,20%
0802 - Los demás frutos de cáscara frescos o secos, incluso sin cáscara o mondados;Nueces de nogal, con cáscara;4%
0802 - Los demás frutos de cáscara frescos o secos, incluso sin cáscara o mondados;Nueces de nogal, sin cáscara;5,10%
0802 - Los demás frutos de cáscara frescos o secos, incluso sin cáscara o mondados;Castañas (Castanea spp.), con cáscara;5,60%
0802 - Los demás frutos de cáscara frescos o secos, incluso sin cáscara o mondados;Castañas (Castanea spp.), sin cáscara;5,60%
0802 - Los demás frutos de cáscara frescos o secos, incluso sin cáscara o mondados;Pistachos, con cáscara;1,60%
0802 - Los demás frutos de cáscara frescos o secos, incluso sin cáscara o mondados;Pistachos, sin cáscara;1,60%
0802 - Los demás frutos de cáscara frescos o secos, incluso sin cáscara o mondados;Nueces de macadamia, con cáscara;2%
0802 - Los demás frutos de cáscara frescos o secos, incluso sin cáscara o mondados;Nueces de macadamia), sin cáscara;2%
0802 - Los demás frutos de cáscara frescos o secos, incluso sin cáscara o mondados;Nueces de cola (Cola spp.);exención
0802 - Los demás frutos de cáscara frescos o secos, incluso sin cáscara o mondados;Nueces de areca;exención
0802 - Los demás frutos de cáscara frescos o secos, incluso sin cáscara o mondados;Pacanas;exención
