Fracción;Uso;Impuesto importación
0709 - Las demás hortalizas, frescas o refrigeradas;Maíz dulce;9,4 €/100 kg/net
0709 - Las demás hortalizas, frescas o refrigeradas;Las demás;12,80%
0710 - Hortalizas, aunque estén cocidas en agua o vapor, congeladas;Patatas (papas;14,40%
0710 - Hortalizas, aunque estén cocidas en agua o vapor, congeladas;Guisantes (arvejas, chícharos) (Pisum sativum);14,40%
0710 - Hortalizas, aunque estén cocidas en agua o vapor, congeladas;Judías (porotos, alubias, frijoles, fréjoles) (Vigna spp., Phaseolus spp.);14,40%
0710 - Hortalizas, aunque estén cocidas en agua o vapor, congeladas;Las demás;14,40%
0710 - Hortalizas, aunque estén cocidas en agua o vapor, congeladas;Espinacas (incluida la de Nueva Zelanda) y armuelles;14,40%
0710 - Hortalizas, aunque estén cocidas en agua o vapor, congeladas;Maíz dulce;5,1 + 9,4 €/100 kg/ net (1)
0710 - Hortalizas, aunque estén cocidas en agua o vapor, congeladas;Aceitunas;15,20%
0710 - Hortalizas, aunque estén cocidas en agua o vapor, congeladas;Pimientos dulces;14,40%
0710 - Hortalizas, aunque estén cocidas en agua o vapor, congeladas;Otros Frutos de los géneros Capsicum o Pimenta;6,40%
0710 - Hortalizas, aunque estén cocidas en agua o vapor, congeladas;Setas, Del género Agaricus;14,40%
0710 - Hortalizas, aunque estén cocidas en agua o vapor, congeladas;Setas, las demas;14,40%
0710 - Hortalizas, aunque estén cocidas en agua o vapor, congeladas;Tomates;14,40%
0710 - Hortalizas, aunque estén cocidas en agua o vapor, congeladas;Alcachofas (alcauciles);14,40%
0710 - Hortalizas, aunque estén cocidas en agua o vapor, congeladas;Espárragos;14,40%
0710 - Hortalizas, aunque estén cocidas en agua o vapor, congeladas;Las demás;14,40%
0710 - Hortalizas, aunque estén cocidas en agua o vapor, congeladas;Mezclas de hortalizas;14,40%
"0711 - Hortalizas conservadas provisionalmente (por ejemplo: con gas sulfuroso o con 
agua salada, sulfurosa o adicionada de otras sustancias para asegurar dicha 
conservación), pero todavía impropias para consumo inmediato";Aceitunas, Que no se destinen a la producción de aceite ;6,40%
"0711 - Hortalizas conservadas provisionalmente (por ejemplo: con gas sulfuroso o con 
agua salada, sulfurosa o adicionada de otras sustancias para asegurar dicha 
conservación), pero todavía impropias para consumo inmediato";Las demas aceitunas.;13,1 €/100 kg/net
"0711 - Hortalizas conservadas provisionalmente (por ejemplo: con gas sulfuroso o con 
agua salada, sulfurosa o adicionada de otras sustancias para asegurar dicha 
conservación), pero todavía impropias para consumo inmediato";Pepinos y Pepinillos;12%
"0711 - Hortalizas conservadas provisionalmente (por ejemplo: con gas sulfuroso o con 
agua salada, sulfurosa o adicionada de otras sustancias para asegurar dicha 
conservación), pero todavía impropias para consumo inmediato";Hongos del género Agaricus;9,6 + 191 €/ 100 kg/net eda*Contingentes arancelarios OMC
"0711 - Hortalizas conservadas provisionalmente (por ejemplo: con gas sulfuroso o con 
agua salada, sulfurosa o adicionada de otras sustancias para asegurar dicha 
conservación), pero todavía impropias para consumo inmediato";Demas hongos y trufas;9,60%
"0711 - Hortalizas conservadas provisionalmente (por ejemplo: con gas sulfuroso o con 
agua salada, sulfurosa o adicionada de otras sustancias para asegurar dicha 
conservación), pero todavía impropias para consumo inmediato";Frutos de los géneros Capsicum o Pimenta (excepto los pimientos dulces);6,40%
"0711 - Hortalizas conservadas provisionalmente (por ejemplo: con gas sulfuroso o con 
agua salada, sulfurosa o adicionada de otras sustancias para asegurar dicha 
conservación), pero todavía impropias para consumo inmediato";Maíz dulce;5,1 + 9,4 €/100 kg/ net *El montante específico, como medida autónoma, se percibirá sobre el peso neto escurrido. 
"0711 - Hortalizas conservadas provisionalmente (por ejemplo: con gas sulfuroso o con 
agua salada, sulfurosa o adicionada de otras sustancias para asegurar dicha 
conservación), pero todavía impropias para consumo inmediato";Cebollas;7,20%
"0711 - Hortalizas conservadas provisionalmente (por ejemplo: con gas sulfuroso o con 
agua salada, sulfurosa o adicionada de otras sustancias para asegurar dicha 
conservación), pero todavía impropias para consumo inmediato";Alcaparras;4,80%
"0711 - Hortalizas conservadas provisionalmente (por ejemplo: con gas sulfuroso o con 
agua salada, sulfurosa o adicionada de otras sustancias para asegurar dicha 
conservación), pero todavía impropias para consumo inmediato";Las demás;9,60%
"0711 - Hortalizas conservadas provisionalmente (por ejemplo: con gas sulfuroso o con 
agua salada, sulfurosa o adicionada de otras sustancias para asegurar dicha 
conservación), pero todavía impropias para consumo inmediato";Mezclas de hortaliza;12,00%
"0712 - Hortalizas secas, incluidas las cortadas en trozos o en rodajas o las trituradas o 
pulverizadas, pero sin otra preparación";Cebollas;12,8% * Contingentes arancelarios OMC
"0712 - Hortalizas secas, incluidas las cortadas en trozos o en rodajas o las trituradas o 
pulverizadas, pero sin otra preparación";Hongos del género Agaricus;12,80%
"0712 - Hortalizas secas, incluidas las cortadas en trozos o en rodajas o las trituradas o 
pulverizadas, pero sin otra preparación";Orejas de Judas (Auricularia spp.);12,80%
"0712 - Hortalizas secas, incluidas las cortadas en trozos o en rodajas o las trituradas o 
pulverizadas, pero sin otra preparación";Hongos gelatinosos (Tremella spp.);12,80%
"0712 - Hortalizas secas, incluidas las cortadas en trozos o en rodajas o las trituradas o 
pulverizadas, pero sin otra preparación";Los demás hogos y trufas;12,80%
"0712 - Hortalizas secas, incluidas las cortadas en trozos o en rodajas o las trituradas o 
pulverizadas, pero sin otra preparación";Patatas (papas), incluso en trozos o en rodajas, pero sin otra preparación;10,20%
"0712 - Hortalizas secas, incluidas las cortadas en trozos o en rodajas o las trituradas o 
pulverizadas, pero sin otra preparación";Maíz dulce, Híbrido, para siembra;exención
"0712 - Hortalizas secas, incluidas las cortadas en trozos o en rodajas o las trituradas o 
pulverizadas, pero sin otra preparación";Maíz dulce, los demas;9,4 €/100 kg/net
"0712 - Hortalizas secas, incluidas las cortadas en trozos o en rodajas o las trituradas o 
pulverizadas, pero sin otra preparación";Tomates;12,80%
"0712 - Hortalizas secas, incluidas las cortadas en trozos o en rodajas o las trituradas o 
pulverizadas, pero sin otra preparación";Zanahorias;12,80%
"0712 - Hortalizas secas, incluidas las cortadas en trozos o en rodajas o las trituradas o 
pulverizadas, pero sin otra preparación";Las demás hortalizas;12,80%
0713 - Hortalizas de vaina secas desvainadas, aunque estén mondadas o partidas;Guisantes (arvejas, chícharos) (Pisum sativum) para siembre;exención
0713 - Hortalizas de vaina secas desvainadas, aunque estén mondadas o partidas;Guisantes (arvejas, chícharos) (Pisum sativum) los demas;exención
0713 - Hortalizas de vaina secas desvainadas, aunque estén mondadas o partidas;Garbanzos;exención
0713 - Hortalizas de vaina secas desvainadas, aunque estén mondadas o partidas;Judías (porotos, alubias, frijoles, fréjoles) de las especies Vigna mungo (L) Hepper o Vigna radiata (L) Wilczek;exención
0713 - Hortalizas de vaina secas desvainadas, aunque estén mondadas o partidas;Judías (porotos, alubias, frijoles, fréjoles) Adzuki (Phaseolus o Vigna angularis);exención
0713 - Hortalizas de vaina secas desvainadas, aunque estén mondadas o partidas;Judías (porotos, alubias, frijoles, fréjoles) comunes (Phaseolus vulgaris);exención
0713 - Hortalizas de vaina secas desvainadas, aunque estén mondadas o partidas;Judías (porotos, alubias, frijoles, fréjoles) bambara (Vigna subterranea o Voandzeia subterranea);exención
0713 - Hortalizas de vaina secas desvainadas, aunque estén mondadas o partidas;Judías (porotos, alubias, frijoles, fréjoles) salvajes o caupí (Vigna unguiculata);exención
0713 - Hortalizas de vaina secas desvainadas, aunque estén mondadas o partidas;Lentejas, Habas (Vicia faba var. major), haba caballar (Vicia faba var. equina) y haba menor (Vicia faba var. minor);3,20%
0713 - Hortalizas de vaina secas desvainadas, aunque estén mondadas o partidas;Lentejas, Guisantes (arvejas, chícharos) de palo, gandú o gandul (Cajanus cajan);3,20%
0713 - Hortalizas de vaina secas desvainadas, aunque estén mondadas o partidas;Lentejas, las demas;3,20%
"0714 - Raíces de mandioca (yuca), arrurruz o salep, aguaturmas (patacas), batatas (bo
niatos, camotes) y raíces y tubérculos similares ricos en fécula o inulina, fres
cos, refrigerados, congelados o secos, incluso troceados o en pellets; médula de 
sagú";;9,5 €/100 kg/net *Contingentes arancelarios OMC
"0714 - Raíces de mandioca (yuca), arrurruz o salep, aguaturmas (patacas), batatas (bo
niatos, camotes) y raíces y tubérculos similares ricos en fécula o inulina, fres
cos, refrigerados, congelados o secos, incluso troceados o en pellets; médula de 
sagú";Batatas (boniatos, camotes): Frescas, enteras, para el consumo humano;3,80%
"0714 - Raíces de mandioca (yuca), arrurruz o salep, aguaturmas (patacas), batatas (bo
niatos, camotes) y raíces y tubérculos similares ricos en fécula o inulina, fres
cos, refrigerados, congelados o secos, incluso troceados o en pellets; médula de 
sagú";Batatas (boniatos, camotes): Las demas.;6,4 €/100 kg/net *Contingentes arancelarios OMC
"0714 - Raíces de mandioca (yuca), arrurruz o salep, aguaturmas (patacas), batatas (bo
niatos, camotes) y raíces y tubérculos similares ricos en fécula o inulina, fres
cos, refrigerados, congelados o secos, incluso troceados o en pellets; médula de 
sagú";Ñame (Dioscorea spp.);9,5 €/100 kg/net *Contingentes arancelarios OMC
"0714 - Raíces de mandioca (yuca), arrurruz o salep, aguaturmas (patacas), batatas (bo
niatos, camotes) y raíces y tubérculos similares ricos en fécula o inulina, fres
cos, refrigerados, congelados o secos, incluso troceados o en pellets; médula de 
sagú";Taro (Colocasia spp.);9,5 €/100 kg/net *Contingentes arancelarios OMC
"0714 - Raíces de mandioca (yuca), arrurruz o salep, aguaturmas (patacas), batatas (bo
niatos, camotes) y raíces y tubérculos similares ricos en fécula o inulina, fres
cos, refrigerados, congelados o secos, incluso troceados o en pellets; médula de 
sagú";Yautía (malanga) (Xanthosoma spp.);9,5 €/100 kg/net *Contingentes arancelarios OMC
"0714 - Raíces de mandioca (yuca), arrurruz o salep, aguaturmas (patacas), batatas (bo
niatos, camotes) y raíces y tubérculos similares ricos en fécula o inulina, fres
cos, refrigerados, congelados o secos, incluso troceados o en pellets; médula de 
sagú";Raíces de arrurruz y de salep, y raíces y tubérculos similares ricos en fécula;9,5 €/100 kg/net *Contingentes arancelarios OMC
"0714 - Raíces de mandioca (yuca), arrurruz o salep, aguaturmas (patacas), batatas (bo
niatos, camotes) y raíces y tubérculos similares ricos en fécula o inulina, fres
cos, refrigerados, congelados o secos, incluso troceados o en pellets; médula de 
sagú";Demás raices;3,8% *Contingentes arancelarios OMC
"0801 - Cocos, nueces del Brasil y nueces de marañón (merey, cajuil, anacardo, cajú), 
frescos o secos, incluso sin cáscara o mondados";Cocos ;exención
"0801 - Cocos, nueces del Brasil y nueces de marañón (merey, cajuil, anacardo, cajú), 
frescos o secos, incluso sin cáscara o mondados";Nueces de Brasil;exención
"0801 - Cocos, nueces del Brasil y nueces de marañón (merey, cajuil, anacardo, cajú), 
frescos o secos, incluso sin cáscara o mondados";Nueces de marañón (merey, cajuil, anacardo, cajú;exención
