Sección;Capítulo;Partida;Subpartida;Fracción;Region ;Pais ;Gasto
Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Europe;Islandia;
Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Europe;Italia;1.305.273,67
Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Europe;Letonia;
Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Europe;Liechtenstein;
Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Europe;Lituania;
Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Europe;Luxemburgo;
Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Europe;Macedonia;
Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Europe;Malta;
Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Europe;Moldavia;
Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Europe;No identificados de la U.E.;
Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Europe;Noruega;
Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Europe;Países Bajos;
Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Europe;Polonia;
Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Europe;Portugal;
Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Europe;Reino Unido;284.457,28
Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Europe;República Checa;
Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Europe;República Eslovaca;
Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Sección I  Animales vivos y productos del reino animal;Europe;Rumania;
