Sección;Capítulo;Partida;Subpartida;Fracción;Region ;Pais ;Gasto
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;807 - Melones, sandías y papayas, frescos;807 - Melones, sandías y papayas, frescos;0807 - Melones, sandías y papayas, frescos;Europe;Bulgaria;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;807 - Melones, sandías y papayas, frescos;807 - Melones, sandías y papayas, frescos;0807 - Melones, sandías y papayas, frescos;Europe;Chipre;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;807 - Melones, sandías y papayas, frescos;807 - Melones, sandías y papayas, frescos;0807 - Melones, sandías y papayas, frescos;Europe;Croacia;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;807 - Melones, sandías y papayas, frescos;807 - Melones, sandías y papayas, frescos;0807 - Melones, sandías y papayas, frescos;Europe;Dinamarca;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;807 - Melones, sandías y papayas, frescos;807 - Melones, sandías y papayas, frescos;0807 - Melones, sandías y papayas, frescos;Europe;Eslovenia;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;807 - Melones, sandías y papayas, frescos;807 - Melones, sandías y papayas, frescos;0807 - Melones, sandías y papayas, frescos;Europe;España;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;807 - Melones, sandías y papayas, frescos;807 - Melones, sandías y papayas, frescos;0807 - Melones, sandías y papayas, frescos;Europe;Estonia;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;807 - Melones, sandías y papayas, frescos;807 - Melones, sandías y papayas, frescos;0807 - Melones, sandías y papayas, frescos;Europe;Federación Rusa;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;807 - Melones, sandías y papayas, frescos;807 - Melones, sandías y papayas, frescos;0807 - Melones, sandías y papayas, frescos;Europe;Finlandia;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;807 - Melones, sandías y papayas, frescos;807 - Melones, sandías y papayas, frescos;0807 - Melones, sandías y papayas, frescos;Europe;Francia;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;807 - Melones, sandías y papayas, frescos;807 - Melones, sandías y papayas, frescos;0807 - Melones, sandías y papayas, frescos;Europe;Georgia;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;807 - Melones, sandías y papayas, frescos;807 - Melones, sandías y papayas, frescos;0807 - Melones, sandías y papayas, frescos;Europe;Gibraltar;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;807 - Melones, sandías y papayas, frescos;807 - Melones, sandías y papayas, frescos;0807 - Melones, sandías y papayas, frescos;Europe;Grecia;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;807 - Melones, sandías y papayas, frescos;807 - Melones, sandías y papayas, frescos;0807 - Melones, sandías y papayas, frescos;Europe;Hungría;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;807 - Melones, sandías y papayas, frescos;807 - Melones, sandías y papayas, frescos;0807 - Melones, sandías y papayas, frescos;Europe;Irlanda;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;807 - Melones, sandías y papayas, frescos;807 - Melones, sandías y papayas, frescos;0807 - Melones, sandías y papayas, frescos;Europe;Islandia;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;807 - Melones, sandías y papayas, frescos;807 - Melones, sandías y papayas, frescos;0807 - Melones, sandías y papayas, frescos;Europe;Italia;0,00
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;807 - Melones, sandías y papayas, frescos;807 - Melones, sandías y papayas, frescos;0807 - Melones, sandías y papayas, frescos;Europe;Letonia;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;807 - Melones, sandías y papayas, frescos;807 - Melones, sandías y papayas, frescos;0807 - Melones, sandías y papayas, frescos;Europe;Liechtenstein;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;807 - Melones, sandías y papayas, frescos;807 - Melones, sandías y papayas, frescos;0807 - Melones, sandías y papayas, frescos;Europe;Lituania;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;807 - Melones, sandías y papayas, frescos;807 - Melones, sandías y papayas, frescos;0807 - Melones, sandías y papayas, frescos;Europe;Luxemburgo;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;807 - Melones, sandías y papayas, frescos;807 - Melones, sandías y papayas, frescos;0807 - Melones, sandías y papayas, frescos;Europe;Macedonia;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;807 - Melones, sandías y papayas, frescos;807 - Melones, sandías y papayas, frescos;0807 - Melones, sandías y papayas, frescos;Europe;Malta;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;807 - Melones, sandías y papayas, frescos;807 - Melones, sandías y papayas, frescos;0807 - Melones, sandías y papayas, frescos;Europe;Moldavia;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;807 - Melones, sandías y papayas, frescos;807 - Melones, sandías y papayas, frescos;0807 - Melones, sandías y papayas, frescos;Europe;No identificados de la U.E.;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;807 - Melones, sandías y papayas, frescos;807 - Melones, sandías y papayas, frescos;0807 - Melones, sandías y papayas, frescos;Europe;Noruega;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;807 - Melones, sandías y papayas, frescos;807 - Melones, sandías y papayas, frescos;0807 - Melones, sandías y papayas, frescos;Europe;Países Bajos;0,00
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;807 - Melones, sandías y papayas, frescos;807 - Melones, sandías y papayas, frescos;0807 - Melones, sandías y papayas, frescos;Europe;Polonia;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;807 - Melones, sandías y papayas, frescos;807 - Melones, sandías y papayas, frescos;0807 - Melones, sandías y papayas, frescos;Europe;Portugal;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;807 - Melones, sandías y papayas, frescos;807 - Melones, sandías y papayas, frescos;0807 - Melones, sandías y papayas, frescos;Europe;Reino Unido;0,00
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;807 - Melones, sandías y papayas, frescos;807 - Melones, sandías y papayas, frescos;0807 - Melones, sandías y papayas, frescos;Europe;República Checa;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;807 - Melones, sandías y papayas, frescos;807 - Melones, sandías y papayas, frescos;0807 - Melones, sandías y papayas, frescos;Europe;República Eslovaca;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;807 - Melones, sandías y papayas, frescos;807 - Melones, sandías y papayas, frescos;0807 - Melones, sandías y papayas, frescos;Europe;Rumania;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;807 - Melones, sandías y papayas, frescos;807 - Melones, sandías y papayas, frescos;0807 - Melones, sandías y papayas, frescos;Europe;Serbia;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;807 - Melones, sandías y papayas, frescos;807 - Melones, sandías y papayas, frescos;0807 - Melones, sandías y papayas, frescos;Europe;Suecia;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;807 - Melones, sandías y papayas, frescos;807 - Melones, sandías y papayas, frescos;0807 - Melones, sandías y papayas, frescos;Europe;Suiza;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;807 - Melones, sandías y papayas, frescos;807 - Melones, sandías y papayas, frescos;0807 - Melones, sandías y papayas, frescos;Europe;Turquía;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;807 - Melones, sandías y papayas, frescos;807 - Melones, sandías y papayas, frescos;0807 - Melones, sandías y papayas, frescos;Europe;Ucrania;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;0808 - Manzanas, peras y membrillos, frescos;0808 - Manzanas, peras y membrillos, frescos;0808 - Manzanas, peras y membrillos, frescos;África y Oceanía;África y Oceanía;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;0808 - Manzanas, peras y membrillos, frescos;0808 - Manzanas, peras y membrillos, frescos;0808 - Manzanas, peras y membrillos, frescos;América del Norte;América del Norte;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;808 - Manzanas, peras y membrillos, frescos;808 - Manzanas, peras y membrillos, frescos;0808 - Manzanas, peras y membrillos, frescos;Asia;Asia;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;808 - Manzanas, peras y membrillos, frescos;808 - Manzanas, peras y membrillos, frescos;0808 - Manzanas, peras y membrillos, frescos;Latinoamérica y Antillas;Latinoamérica y Antillas;250.415,07
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;808 - Manzanas, peras y membrillos, frescos;808 - Manzanas, peras y membrillos, frescos;0808 - Manzanas, peras y membrillos, frescos;Otros;Otros;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;808 - Manzanas, peras y membrillos, frescos;808 - Manzanas, peras y membrillos, frescos;0808 - Manzanas, peras y membrillos, frescos;Europe;No identificados de la U.E.;0,00
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;808 - Manzanas, peras y membrillos, frescos;808 - Manzanas, peras y membrillos, frescos;0808 - Manzanas, peras y membrillos, frescos;Europe;Albania;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;808 - Manzanas, peras y membrillos, frescos;808 - Manzanas, peras y membrillos, frescos;0808 - Manzanas, peras y membrillos, frescos;Europe;Alemania;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;808 - Manzanas, peras y membrillos, frescos;808 - Manzanas, peras y membrillos, frescos;0808 - Manzanas, peras y membrillos, frescos;Europe;Austria;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;808 - Manzanas, peras y membrillos, frescos;808 - Manzanas, peras y membrillos, frescos;0808 - Manzanas, peras y membrillos, frescos;Europe;Bélgica;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;808 - Manzanas, peras y membrillos, frescos;808 - Manzanas, peras y membrillos, frescos;0808 - Manzanas, peras y membrillos, frescos;Europe;Bielorrusia;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;808 - Manzanas, peras y membrillos, frescos;808 - Manzanas, peras y membrillos, frescos;0808 - Manzanas, peras y membrillos, frescos;Europe;Bosnia y Herzegovina;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;808 - Manzanas, peras y membrillos, frescos;808 - Manzanas, peras y membrillos, frescos;0808 - Manzanas, peras y membrillos, frescos;Europe;Bulgaria;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;808 - Manzanas, peras y membrillos, frescos;808 - Manzanas, peras y membrillos, frescos;0808 - Manzanas, peras y membrillos, frescos;Europe;Chipre;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;808 - Manzanas, peras y membrillos, frescos;808 - Manzanas, peras y membrillos, frescos;0808 - Manzanas, peras y membrillos, frescos;Europe;Croacia;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;808 - Manzanas, peras y membrillos, frescos;808 - Manzanas, peras y membrillos, frescos;0808 - Manzanas, peras y membrillos, frescos;Europe;Dinamarca;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;808 - Manzanas, peras y membrillos, frescos;808 - Manzanas, peras y membrillos, frescos;0808 - Manzanas, peras y membrillos, frescos;Europe;Eslovenia;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;808 - Manzanas, peras y membrillos, frescos;808 - Manzanas, peras y membrillos, frescos;0808 - Manzanas, peras y membrillos, frescos;Europe;España;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;808 - Manzanas, peras y membrillos, frescos;808 - Manzanas, peras y membrillos, frescos;0808 - Manzanas, peras y membrillos, frescos;Europe;Estonia;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;808 - Manzanas, peras y membrillos, frescos;808 - Manzanas, peras y membrillos, frescos;0808 - Manzanas, peras y membrillos, frescos;Europe;Federación Rusa;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;808 - Manzanas, peras y membrillos, frescos;808 - Manzanas, peras y membrillos, frescos;0808 - Manzanas, peras y membrillos, frescos;Europe;Finlandia;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;808 - Manzanas, peras y membrillos, frescos;808 - Manzanas, peras y membrillos, frescos;0808 - Manzanas, peras y membrillos, frescos;Europe;Francia;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;808 - Manzanas, peras y membrillos, frescos;808 - Manzanas, peras y membrillos, frescos;0808 - Manzanas, peras y membrillos, frescos;Europe;Georgia;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;808 - Manzanas, peras y membrillos, frescos;808 - Manzanas, peras y membrillos, frescos;0808 - Manzanas, peras y membrillos, frescos;Europe;Gibraltar;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;808 - Manzanas, peras y membrillos, frescos;808 - Manzanas, peras y membrillos, frescos;0808 - Manzanas, peras y membrillos, frescos;Europe;Grecia;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;808 - Manzanas, peras y membrillos, frescos;808 - Manzanas, peras y membrillos, frescos;0808 - Manzanas, peras y membrillos, frescos;Europe;Hungría;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;808 - Manzanas, peras y membrillos, frescos;808 - Manzanas, peras y membrillos, frescos;0808 - Manzanas, peras y membrillos, frescos;Europe;Irlanda;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;808 - Manzanas, peras y membrillos, frescos;808 - Manzanas, peras y membrillos, frescos;0808 - Manzanas, peras y membrillos, frescos;Europe;Islandia;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;808 - Manzanas, peras y membrillos, frescos;808 - Manzanas, peras y membrillos, frescos;0808 - Manzanas, peras y membrillos, frescos;Europe;Italia;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;808 - Manzanas, peras y membrillos, frescos;808 - Manzanas, peras y membrillos, frescos;0808 - Manzanas, peras y membrillos, frescos;Europe;Letonia;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;808 - Manzanas, peras y membrillos, frescos;808 - Manzanas, peras y membrillos, frescos;0808 - Manzanas, peras y membrillos, frescos;Europe;Liechtenstein;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;808 - Manzanas, peras y membrillos, frescos;808 - Manzanas, peras y membrillos, frescos;0808 - Manzanas, peras y membrillos, frescos;Europe;Lituania;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;808 - Manzanas, peras y membrillos, frescos;808 - Manzanas, peras y membrillos, frescos;0808 - Manzanas, peras y membrillos, frescos;Europe;Luxemburgo;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;808 - Manzanas, peras y membrillos, frescos;808 - Manzanas, peras y membrillos, frescos;0808 - Manzanas, peras y membrillos, frescos;Europe;Macedonia;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;808 - Manzanas, peras y membrillos, frescos;808 - Manzanas, peras y membrillos, frescos;0808 - Manzanas, peras y membrillos, frescos;Europe;Malta;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;808 - Manzanas, peras y membrillos, frescos;808 - Manzanas, peras y membrillos, frescos;0808 - Manzanas, peras y membrillos, frescos;Europe;Moldavia;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;808 - Manzanas, peras y membrillos, frescos;808 - Manzanas, peras y membrillos, frescos;0808 - Manzanas, peras y membrillos, frescos;Europe;No identificados de la U.E.;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;808 - Manzanas, peras y membrillos, frescos;808 - Manzanas, peras y membrillos, frescos;0808 - Manzanas, peras y membrillos, frescos;Europe;Noruega;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;808 - Manzanas, peras y membrillos, frescos;808 - Manzanas, peras y membrillos, frescos;0808 - Manzanas, peras y membrillos, frescos;Europe;Países Bajos;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;808 - Manzanas, peras y membrillos, frescos;808 - Manzanas, peras y membrillos, frescos;0808 - Manzanas, peras y membrillos, frescos;Europe;Polonia;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;808 - Manzanas, peras y membrillos, frescos;808 - Manzanas, peras y membrillos, frescos;0808 - Manzanas, peras y membrillos, frescos;Europe;Portugal;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;808 - Manzanas, peras y membrillos, frescos;808 - Manzanas, peras y membrillos, frescos;0808 - Manzanas, peras y membrillos, frescos;Europe;Reino Unido;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;808 - Manzanas, peras y membrillos, frescos;808 - Manzanas, peras y membrillos, frescos;0808 - Manzanas, peras y membrillos, frescos;Europe;República Checa;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;808 - Manzanas, peras y membrillos, frescos;808 - Manzanas, peras y membrillos, frescos;0808 - Manzanas, peras y membrillos, frescos;Europe;República Eslovaca;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;808 - Manzanas, peras y membrillos, frescos;808 - Manzanas, peras y membrillos, frescos;0808 - Manzanas, peras y membrillos, frescos;Europe;Rumania;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;808 - Manzanas, peras y membrillos, frescos;808 - Manzanas, peras y membrillos, frescos;0808 - Manzanas, peras y membrillos, frescos;Europe;Serbia;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;808 - Manzanas, peras y membrillos, frescos;808 - Manzanas, peras y membrillos, frescos;0808 - Manzanas, peras y membrillos, frescos;Europe;Suecia;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;808 - Manzanas, peras y membrillos, frescos;808 - Manzanas, peras y membrillos, frescos;0808 - Manzanas, peras y membrillos, frescos;Europe;Suiza;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;808 - Manzanas, peras y membrillos, frescos;808 - Manzanas, peras y membrillos, frescos;0808 - Manzanas, peras y membrillos, frescos;Europe;Turquía;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;808 - Manzanas, peras y membrillos, frescos;808 - Manzanas, peras y membrillos, frescos;0808 - Manzanas, peras y membrillos, frescos;Europe;Ucrania;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;0809 - Chabacanos (damascos, albaricoques), cerezas, dura...;0809 - Chabacanos (damascos, albaricoques), cerezas, dura...;0809 - Chabacanos (damascos, albaricoques), cerezas, dura...;África y Oceanía;África y Oceanía;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;0809 - Chabacanos (damascos, albaricoques), cerezas, dura...;0809 - Chabacanos (damascos, albaricoques), cerezas, dura...;0809 - Chabacanos (damascos, albaricoques), cerezas, dura...;América del Norte;América del Norte;0,00
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;809 - Chabacanos (damascos, albaricoques), cerezas, dura...;809 - Chabacanos (damascos, albaricoques), cerezas, dura...;809 - Chabacanos (damascos, albaricoques), cerezas, dura...;Asia;Asia;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;809 - Chabacanos (damascos, albaricoques), cerezas, dura...;809 - Chabacanos (damascos, albaricoques), cerezas, dura...;0809 - Chabacanos (damascos, albaricoques), cerezas, dura...;Latinoamérica y Antillas;Latinoamérica y Antillas;0,00
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;809 - Chabacanos (damascos, albaricoques), cerezas, dura...;809 - Chabacanos (damascos, albaricoques), cerezas, dura...;0809 - Chabacanos (damascos, albaricoques), cerezas, dura...;Otros;Otros;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;809 - Chabacanos (damascos, albaricoques), cerezas, dura...;809 - Chabacanos (damascos, albaricoques), cerezas, dura...;0809 - Chabacanos (damascos, albaricoques), cerezas, dura...;Europe;No identificados de la U.E.;0,00
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;809 - Chabacanos (damascos, albaricoques), cerezas, dura...;809 - Chabacanos (damascos, albaricoques), cerezas, dura...;0809 - Chabacanos (damascos, albaricoques), cerezas, dura...;Europe;Albania;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;809 - Chabacanos (damascos, albaricoques), cerezas, dura...;809 - Chabacanos (damascos, albaricoques), cerezas, dura...;0809 - Chabacanos (damascos, albaricoques), cerezas, dura...;Europe;Alemania;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;809 - Chabacanos (damascos, albaricoques), cerezas, dura...;809 - Chabacanos (damascos, albaricoques), cerezas, dura...;0809 - Chabacanos (damascos, albaricoques), cerezas, dura...;Europe;Austria;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;809 - Chabacanos (damascos, albaricoques), cerezas, dura...;809 - Chabacanos (damascos, albaricoques), cerezas, dura...;0809 - Chabacanos (damascos, albaricoques), cerezas, dura...;Europe;Bélgica;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;809 - Chabacanos (damascos, albaricoques), cerezas, dura...;809 - Chabacanos (damascos, albaricoques), cerezas, dura...;0809 - Chabacanos (damascos, albaricoques), cerezas, dura...;Europe;Bielorrusia;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;809 - Chabacanos (damascos, albaricoques), cerezas, dura...;809 - Chabacanos (damascos, albaricoques), cerezas, dura...;0809 - Chabacanos (damascos, albaricoques), cerezas, dura...;Europe;Bosnia y Herzegovina;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;809 - Chabacanos (damascos, albaricoques), cerezas, dura...;809 - Chabacanos (damascos, albaricoques), cerezas, dura...;0809 - Chabacanos (damascos, albaricoques), cerezas, dura...;Europe;Bulgaria;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;809 - Chabacanos (damascos, albaricoques), cerezas, dura...;809 - Chabacanos (damascos, albaricoques), cerezas, dura...;0809 - Chabacanos (damascos, albaricoques), cerezas, dura...;Europe;Chipre;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;809 - Chabacanos (damascos, albaricoques), cerezas, dura...;809 - Chabacanos (damascos, albaricoques), cerezas, dura...;0809 - Chabacanos (damascos, albaricoques), cerezas, dura...;Europe;Croacia;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;809 - Chabacanos (damascos, albaricoques), cerezas, dura...;809 - Chabacanos (damascos, albaricoques), cerezas, dura...;0809 - Chabacanos (damascos, albaricoques), cerezas, dura...;Europe;Dinamarca;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;809 - Chabacanos (damascos, albaricoques), cerezas, dura...;809 - Chabacanos (damascos, albaricoques), cerezas, dura...;0809 - Chabacanos (damascos, albaricoques), cerezas, dura...;Europe;Eslovenia;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;809 - Chabacanos (damascos, albaricoques), cerezas, dura...;809 - Chabacanos (damascos, albaricoques), cerezas, dura...;0809 - Chabacanos (damascos, albaricoques), cerezas, dura...;Europe;España;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;809 - Chabacanos (damascos, albaricoques), cerezas, dura...;809 - Chabacanos (damascos, albaricoques), cerezas, dura...;0809 - Chabacanos (damascos, albaricoques), cerezas, dura...;Europe;Estonia;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;809 - Chabacanos (damascos, albaricoques), cerezas, dura...;809 - Chabacanos (damascos, albaricoques), cerezas, dura...;0809 - Chabacanos (damascos, albaricoques), cerezas, dura...;Europe;Federación Rusa;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;809 - Chabacanos (damascos, albaricoques), cerezas, dura...;809 - Chabacanos (damascos, albaricoques), cerezas, dura...;0809 - Chabacanos (damascos, albaricoques), cerezas, dura...;Europe;Finlandia;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;809 - Chabacanos (damascos, albaricoques), cerezas, dura...;809 - Chabacanos (damascos, albaricoques), cerezas, dura...;0809 - Chabacanos (damascos, albaricoques), cerezas, dura...;Europe;Francia;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;809 - Chabacanos (damascos, albaricoques), cerezas, dura...;809 - Chabacanos (damascos, albaricoques), cerezas, dura...;0809 - Chabacanos (damascos, albaricoques), cerezas, dura...;Europe;Georgia;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;809 - Chabacanos (damascos, albaricoques), cerezas, dura...;809 - Chabacanos (damascos, albaricoques), cerezas, dura...;0809 - Chabacanos (damascos, albaricoques), cerezas, dura...;Europe;Gibraltar;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;809 - Chabacanos (damascos, albaricoques), cerezas, dura...;809 - Chabacanos (damascos, albaricoques), cerezas, dura...;0809 - Chabacanos (damascos, albaricoques), cerezas, dura...;Europe;Grecia;
Sección II  Productos del reino vegetal;08  Frutas y frutos comestibles, cortezas de agrios (c...;809 - Chabacanos (damascos, albaricoques), cerezas, dura...;809 - Chabacanos (damascos, albaricoques), cerezas, dura...;0809 - Chabacanos (damascos, albaricoques), cerezas, dura...;Europe;Hungría;
